Time,Pods,CPU_Current,CPU_Target,Min_Replicas,Current_Replicas,Max_Replicas
96s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,23%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
97s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,23%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
98s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,23%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
99s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,23%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
100s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,23%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
101s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,23%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
102s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,23%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
103s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,23%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
104s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,23%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
105s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,23%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
106s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,23%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
107s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,23%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
108s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,28%/60%,,memory:,65%/70%,,,1,,,,,15,,,,15,,,,15m
109s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,28%/60%,,memory:,65%/70%,,,1,,,,,15,,,,15,,,,15m
